City,State,Percent
孝感市,湖北省,0.0
黄冈市,湖北省,0.00
荆州市,湖北省,0.0
咸宁市,湖北省,0.0
襄阳市,湖北省,0
荆门市,湖北省,0
黄石市,湖北省,0
随州市,湖北省,0
仙桃市,湖北省,0
鄂州市,湖北省,0
宜昌市,湖北省,0
天门市,湖北省,0
十堰市,湖北省,0
信阳市,河南省,0.0
恩施州,湖北省,0.0
潜江市,湖北省,0.0
重庆市,重庆市,0.0
南阳市,河南省,0.0
驻马店市,河南省,0.0
长沙市,湖南省,0.0
岳阳市,湖南省,0.0
九江市,江西省,0.0
安庆市,安徽省,0.0
周口市,河南省,0.0
常德市,湖南省,0.0
北京市,北京市,0.0
南昌市,江西省,0.0
广州市,广东省,0.0
深圳市,广东省,0.0
商丘市,河南省,0.0
阜阳市,安徽省,0.0
郑州市,河南省,0.0
成都市,四川省,0.0
上海市,上海市,0.0
宜春市,江西省,0.0
合肥市,安徽省,0.0
衡阳市,湖南省,0.0
益阳市,湖南省,0.0
漯河市,河南省,0.0
温州市,浙江省,0.0
西安市,陕西省,0.0
邵阳市,湖南省,0.0
六安市,安徽省,0.0
福州市,福建省,0.0
泉州市,福建省,0.0
株洲市,湖南省,0.0
昆明市,云南省,0.0
娄底市,湖南省,0.0
上饶市,江西省,0.0
许昌市,河南省,0.0
新乡市,河南省,0.0
菏泽市,山东省,0.0
开封市,河南省,0.0
平顶山市,河南省,0.0
石家庄市,河北省,0.0
洛阳市,河南省,0.0
赣州市,江西省,0.0
抚州市,江西省,0.0
吉安市,江西省,0.0
安阳市,河南省,0.0
南京市,江苏省,0.0
徐州市,江苏省,0.0
湘潭市,湖南省,0.0
邯郸市,河北省,0.0
郴州市,湖南省,0.0
永州市,湖南省,0.0
三亚市,海南省,0.0
哈尔滨市,黑龙江省,0.0
芜湖市,安徽省,0.0
厦门市,福建省,0.0
惠州市,广东省,0.0
怀化市,湖南省,0.0
桂林市,广西壮族自治区,0.0
南宁市,广西壮族自治区,0.0
杭州市,浙江省,0.0
达州市,四川省,0.0
东莞市,广东省,0.0
南通市,江苏省,0.0
亳州市,安徽省,0.0
宿州市,安徽省,0.0
珠海市,广东省,0.0
邢台市,河北省,0.0
保定市,河北省,0.0
北海市,广西壮族自治区,0.0
濮阳市,河南省,0.0
海口市,海南省,0.0
盐城市,江苏省,0.0
苏州市,江苏省,0.0
泰州市,江苏省,0.0
安康市,陕西省,0.0
焦作市,河南省,0.0
铜陵市,安徽省,0.0
台州市,浙江省,0.0
湛江市,广东省,0.0
沧州市,河北省,0.0
天津市,天津市,0.0
临沂市,山东省,0.0
扬州市,江苏省,0.0
无锡市,江苏省,0.0
南充市,四川省,0.00